,user,text,favorite_count,retweet_count,created_at
28,SismologicoMX,"SISMO Magnitud 3.8 Loc. 188 km al SUROESTE de PIJIJIAPAN, CHIS 07/01/23 18:52:24 Lat 14.27 Lon -94.17 Pf 10 km",17,1,2023-01-08 14:06:02+00:00
29,SismologicoMX,"SISMO Magnitud 3.3 Loc. 43 km al SUR de TECOMAN, COL 07/01/23 17:50:00 Lat 18.52 Lon -103.84 Pf 16 km",34,1,2023-01-08 14:05:02+00:00
30,SismologicoMX,A las 08:00 a.m. inicia el envío del reporte matutino de sismicidad que incluye los sismos de magnitud menor a 4.0 actualizado hasta las 05:00 a.m.,47,3,2023-01-08 13:54:16+00:00
31,SismologicoMX,"SISMO Magnitud 4.2 Loc  23 km al OESTE de TECPAN, GRO 08/01/23 04:49:17 Lat 17.27 Lon -100.84 Pf 12 km https://t.co/ILBwYZdKhP",128,19,2023-01-08 11:05:05+00:00
32,SismologicoMX,"SISMO Magnitud 4.2 Loc. 23 km al OESTE de TECPAN, GRO 08/01/23 04:49:17 Lat 17.27 Lon -100.84 Pf 12 km",79,5,2023-01-08 11:05:02+00:00
33,SismologicoMX,"SISMO Magnitud 4.3 Loc  185 km al SUROESTE de PIJIJIAPAN, CHIS 08/01/23 04:21:10 Lat 14.40 Lon -94.31 Pf 17 km https://t.co/jopY4lUn9I",108,17,2023-01-08 10:36:05+00:00
34,SismologicoMX,"SISMO Magnitud 4.3 Loc. 185 km al SUROESTE de PIJIJIAPAN, CHIS 08/01/23 04:21:10 Lat 14.40 Lon -94.31 Pf 17 km",103,8,2023-01-08 10:36:02+00:00
35,SismologicoMX,"SISMO Magnitud 4.0 Loc  20 km al SUROESTE de CINTALAPA, CHIS 08/01/23 00:33:58 Lat 16.59 Lon -93.87 Pf 137 km https://t.co/Ihudh4ggrV",116,11,2023-01-08 06:50:05+00:00
36,SismologicoMX,"SISMO Magnitud 4.0 Loc. 20 km al SUROESTE de CINTALAPA, CHIS 08/01/23 00:33:58 Lat 16.59 Lon -93.87 Pf 137 km",82,2,2023-01-08 06:50:02+00:00
37,SismologicoMX,"SISMO Magnitud 4.3 Loc  20 km al NOROESTE de ARRIAGA , CHIS 07/01/23 20:03:02 Lat 16.29 Lon -94.08 Pf 107 km https://t.co/JZlIm4z9pG",200,36,2023-01-08 02:29:05+00:00
38,SismologicoMX,"SISMO Magnitud 4.3 Loc. 20 km al NOROESTE de ARRIAGA , CHIS 07/01/23 20:03:02 Lat 16.29 Lon -94.08 Pf 107 km",115,13,2023-01-08 02:29:01+00:00
39,SismologicoMX,"SISMO Magnitud 3.6 Loc. 70 km al NOROESTE de CINTALAPA, CHIS 07/01/23 09:30:09 Lat 17.24 Lon -94.05 Pf 168 km",120,18,2023-01-08 02:05:13+00:00
40,SismologicoMX,"SISMO Magnitud 3.6 Loc. 21 km al NOROESTE de PINOTEPA NACIONAL, OAX 07/01/23 11:42:39 Lat 16.43 Lon -98.23 Pf 28 km",32,5,2023-01-08 02:05:09+00:00
41,SismologicoMX,"SISMO Magnitud 3.6 Loc. 10 km al NOROESTE de RIO GRANDE, OAX 07/01/23 11:36:19 Lat 16.09 Lon -97.46 Pf 22 km",19,4,2023-01-08 02:05:06+00:00
42,SismologicoMX,"SISMO Magnitud 3.5 Loc. 84 km al SURESTE de RODOLFO SANCHEZ T(MRO), BC 07/01/23 09:00:53 Lat 31.50 Lon -115.73 Pf 15 km",11,1,2023-01-08 02:05:02+00:00
43,SismologicoMX,"SISMO Magnitud 3.7 Loc. 39 km al NOROESTE de VICENTE GUERRERO, BC 07/01/23 08:36:41 Lat 30.89 Lon -116.35 Pf 10 km",14,2,2023-01-08 02:04:44+00:00
44,SismologicoMX,"SISMO Magnitud 3.1 Loc. 27 km al SUROESTE de OMETEPEC, GRO 07/01/23 15:05:11 Lat 16.49 Lon -98.56 Pf 16 km",14,2,2023-01-08 02:04:40+00:00
45,SismologicoMX,"SISMO Magnitud 3.8 Loc. 132 km al SUROESTE de TONALA, CHIS 07/01/23 14:45:26 Lat 15.01 Lon -94.31 Pf 36 km",14,2,2023-01-08 02:04:36+00:00
46,SismologicoMX,"SISMO Magnitud 3.8 Loc. 26 km al SUROESTE de COYUCA DE BENITEZ, GRO 07/01/23 14:39:24 Lat 16.81 Lon -100.20 Pf 11 km",14,3,2023-01-08 02:04:32+00:00
47,SismologicoMX,"SISMO Magnitud 3.5 Loc. 76 km al SUROESTE de COALCOMAN, MICH 07/01/23 13:55:39 Lat 18.12 Lon -103.36 Pf 15 km",14,2,2023-01-08 02:04:29+00:00
48,SismologicoMX,"SISMO Magnitud 3.4 Loc. 31 km al NORTE de PUERTO ESCONDIDO, OAX 07/01/23 13:50:12 Lat 16.14 Lon -97.06 Pf 30 km",33,3,2023-01-08 02:04:25+00:00
49,SismologicoMX,"SISMO Magnitud 3.8 Loc. 14 km al NORESTE de UNION HIDALGO, OAX 07/01/23 13:11:29 Lat 16.58 Lon -94.77 Pf 106 km",19,2,2023-01-08 02:04:21+00:00
50,SismologicoMX,"SISMO Magnitud 3.0 Loc. 34 km al SUR de PINOTEPA NACIONAL, OAX 07/01/23 13:11:47 Lat 16.04 Lon -98.11 Pf 7 km",28,4,2023-01-08 02:04:17+00:00
51,SismologicoMX,"SISMO Magnitud 3.3 Loc. 21 km al SUR de TECOMAN, COL 07/01/23 12:45:40 Lat 18.72 Lon -103.88 Pf 16 km",40,4,2023-01-08 02:04:14+00:00
52,SismologicoMX,"SISMO Magnitud 3.4 Loc. 72 km al SUR de COALCOMAN, MICH 07/01/23 12:43:04 Lat 18.13 Lon -103.20 Pf 10 km",27,5,2023-01-08 02:04:10+00:00
53,SismologicoMX,"SISMO Magnitud 3.9 Loc. 11 km al ESTE de PUERTO ESCONDIDO, OAX 07/01/23 12:41:21 Lat 15.86 Lon -96.97 Pf 12 km",28,5,2023-01-08 02:04:06+00:00
54,SismologicoMX,"SISMO Magnitud 3.9 Loc. 7 km al OESTE de SALINA CRUZ, OAX 07/01/23 11:48:59 Lat 16.18 Lon -95.26 Pf 29 km",27,5,2023-01-08 02:04:02+00:00
