,created_at,user,text,favorite_count,retweet_count
28,2023-01-09 14:00:05+00:00,SismologicoMX,"SISMO Magnitud 3.7 Loc. 29 km al NOROESTE de CINTALAPA, CHIS 08/01/23 17:04:04 Lat 16.81 Lon -93.97 Pf 147 km",11,1
29,2023-01-09 14:00:02+00:00,SismologicoMX,"SISMO Magnitud 3.3 Loc. 17 km al SURESTE de RIO GRANDE, OAX 08/01/23 17:17:26 Lat 15.87 Lon -97.39 Pf 6 km",19,1
30,2023-01-09 13:45:42+00:00,SismologicoMX,A las 08:00 a.m. inicia el envío del reporte matutino de sismicidad que incluye los sismos de magnitud menor a 4.0 actualizado hasta las 05:00 a.m.,34,4
31,2023-01-09 13:16:05+00:00,SismologicoMX,"SISMO Magnitud 4.3 Loc  8 km al ESTE de S PEDRO POCHUTLA, OAX 09/01/23 06:50:18 Lat 15.73 Lon -96.39 Pf 34 km https://t.co/xFew6v7vjY",88,23
32,2023-01-09 13:16:02+00:00,SismologicoMX,"SISMO Magnitud 4.3 Loc. 8 km al ESTE de S PEDRO POCHUTLA, OAX 09/01/23 06:50:18 Lat 15.73 Lon -96.39 Pf 34 km",59,5
33,2023-01-09 11:57:05+00:00,SismologicoMX,"SISMO Magnitud 4.4 Loc  19 km al SUROESTE de CRUCECITA, OAX 09/01/23 05:35:33 Lat 15.66 Lon -96.27 Pf 20 km https://t.co/a62ehaYQs1",101,19
34,2023-01-09 11:57:02+00:00,SismologicoMX,"SISMO Magnitud 4.4 Loc. 19 km al SUROESTE de CRUCECITA, OAX 09/01/23 05:35:33 Lat 15.66 Lon -96.27 Pf 20 km",66,6
35,2023-01-09 10:01:05+00:00,SismologicoMX,"SISMO Magnitud 4.1 Loc  28 km al SURESTE de SALINA CRUZ, OAX 09/01/23 03:35:53 Lat 15.99 Lon -95.03 Pf 17 km https://t.co/7cRAPhFOcn",76,12
36,2023-01-09 10:01:02+00:00,SismologicoMX,"SISMO Magnitud 4.1 Loc. 28 km al SURESTE de SALINA CRUZ, OAX 09/01/23 03:35:53 Lat 15.99 Lon -95.03 Pf 17 km",64,4
37,2023-01-09 02:05:25+00:00,SismologicoMX,"SISMO Magnitud 3.5 Loc. 35 km al NORESTE de MANZANILLO, COL 08/01/23 15:40:45 Lat 19.35 Lon -104.20 Pf 5 km",119,6
38,2023-01-09 02:05:21+00:00,SismologicoMX,"SISMO Magnitud 3.4 Loc. 47 km al SUR de COALCOMAN, MICH 08/01/23 15:25:12 Lat 18.35 Lon -103.20 Pf 26 km",37,1
39,2023-01-09 02:05:17+00:00,SismologicoMX,"SISMO Magnitud 3.2 Loc. 88 km al NOROESTE de SAN FELIPE, BC 08/01/23 15:00:29 Lat 31.50 Lon -115.58 Pf 10 km",25,1
40,2023-01-09 02:05:13+00:00,SismologicoMX,"SISMO Magnitud 3.2 Loc. 19 km al SUROESTE de PINOTEPA NACIONAL, OAX 08/01/23 14:29:31 Lat 16.22 Lon -98.17 Pf 9 km",30,1
41,2023-01-09 02:05:10+00:00,SismologicoMX,"SISMO Magnitud 3.2 Loc. 23 km al SUROESTE de PINOTEPA NACIONAL, OAX 08/01/23 14:26:52 Lat 16.24 Lon -98.24 Pf 9 km",26,1
42,2023-01-09 02:05:06+00:00,SismologicoMX,"SISMO Magnitud 3.2 Loc. 88 km al NOROESTE de SAN FELIPE, BC 08/01/23 13:56:32 Lat 31.54 Lon -115.54 Pf 10 km",22,0
43,2023-01-09 02:05:02+00:00,SismologicoMX,"SISMO Magnitud 3.2 Loc. 30 km al NORESTE de ACAPULCO, GRO 08/01/23 10:03:17 Lat 17.12 Lon -99.78 Pf 38 km",57,2
44,2023-01-09 02:04:31+00:00,SismologicoMX,"SISMO Magnitud 3.4 Loc. 17 km al NOROESTE de VICENTE GUERRERO, BC 08/01/23 11:14:28 Lat 30.86 Lon -116.07 Pf 3 km",31,1
45,2023-01-09 02:04:28+00:00,SismologicoMX,"SISMO Magnitud 3.5 Loc. 75 km al SUR de COALCOMAN, MICH 08/01/23 10:36:55 Lat 18.11 Lon -103.24 Pf 2 km",20,0
46,2023-01-09 02:04:24+00:00,SismologicoMX,"SISMO Magnitud 3.5 Loc. 7 km al NOROESTE de RIO GRANDE, OAX 08/01/23 09:52:57 Lat 16.07 Lon -97.47 Pf 6 km",19,0
47,2023-01-09 02:04:20+00:00,SismologicoMX,"SISMO Magnitud 3.5 Loc. 100 km al SUROESTE de COYUCA DE BENITEZ, GRO 08/01/23 09:46:57 Lat 16.26 Lon -100.62 Pf 10 km",16,0
48,2023-01-09 02:04:16+00:00,SismologicoMX,"SISMO Magnitud 3.3 Loc. 22 km al NOROESTE de VICENTE GUERRERO, BC 08/01/23 16:46:47 Lat 30.89 Lon -116.13 Pf 6 km",21,0
49,2023-01-09 02:04:13+00:00,SismologicoMX,"SISMO Magnitud 3.4 Loc. 19 km al NOROESTE de VICENTE GUERRERO, BC 08/01/23 16:38:53 Lat 30.86 Lon -116.10 Pf 5 km",16,0
50,2023-01-09 02:04:09+00:00,SismologicoMX,"SISMO Magnitud 3.4 Loc. 18 km al NOROESTE de VICENTE GUERRERO, BC 08/01/23 16:14:59 Lat 30.85 Lon -116.10 Pf 4 km",18,0
51,2023-01-09 02:04:05+00:00,SismologicoMX,"SISMO Magnitud 3.3 Loc. 54 km al NORESTE de MATIAS ROMERO, OAX 08/01/23 16:12:41 Lat 17.32 Lon -94.84 Pf 127 km",19,0
52,2023-01-09 02:04:01+00:00,SismologicoMX,"SISMO Magnitud 3.1 Loc. 18 km al SUROESTE de COALCOMAN, MICH 08/01/23 16:06:15 Lat 18.66 Lon -103.28 Pf 8 km",19,0
53,2023-01-09 02:03:48+00:00,SismologicoMX,"SISMO Magnitud 3.5 Loc. 21 km al SUROESTE de PINOTEPA NACIONAL, OAX 08/01/23 13:51:53 Lat 16.27 Lon -98.23 Pf 11 km",20,0
54,2023-01-09 02:03:44+00:00,SismologicoMX,"SISMO Magnitud 3.5 Loc. 33 km al NOROESTE de VILLA DE ALVAREZ, COL 08/01/23 13:30:22 Lat 19.46 Lon -103.98 Pf 79 km",19,3
55,2023-01-09 02:03:40+00:00,SismologicoMX,"SISMO Magnitud 3.4 Loc. 75 km al NOROESTE de SAN FELIPE, BC 08/01/23 13:28:30 Lat 31.40 Lon -115.49 Pf 10 km",18,0
56,2023-01-09 02:03:36+00:00,SismologicoMX,"SISMO Magnitud 3.5 Loc. 35 km al OESTE de VICENTE GUERRERO, BC 08/01/23 13:26:18 Lat 30.69 Lon -116.35 Pf 14 km",15,0
57,2023-01-09 02:03:33+00:00,SismologicoMX,"SISMO Magnitud 3.7 Loc. 4 km al SUROESTE de LOS REYES DE SALGADO, MICH 08/01/23 13:24:35 Lat 19.55 Lon -102.49 Pf 4 km",17,0
58,2023-01-09 02:03:29+00:00,SismologicoMX,"SISMO Magnitud 3.7 Loc. 22 km al NOROESTE de VICENTE GUERRERO, BC 08/01/23 13:16:23 Lat 30.80 Lon -116.20 Pf 2 km",11,0
59,2023-01-09 02:03:25+00:00,SismologicoMX,"SISMO Magnitud 3.3 Loc. 25 km al ESTE de RODOLFO SANCHEZ T(MRO), BC 08/01/23 13:01:07 Lat 31.78 Lon -116.31 Pf 10 km",9,0
60,2023-01-09 02:03:21+00:00,SismologicoMX,"SISMO Magnitud 3.5 Loc. 28 km al SUROESTE de TECPAN, GRO 08/01/23 12:43:15 Lat 16.99 Lon -100.72 Pf 5 km",11,1
61,2023-01-09 02:03:18+00:00,SismologicoMX,"SISMO Magnitud 3.6 Loc. 25 km al SUROESTE de TECPAN, GRO 08/01/23 12:37:28 Lat 17.01 Lon -100.71 Pf 5 km",23,0
62,2023-01-09 02:03:14+00:00,SismologicoMX,"SISMO Magnitud 3.7 Loc. 29 km al SURESTE de TECOMAN, COL 08/01/23 12:29:51 Lat 18.71 Lon -103.71 Pf 2 km",20,2
63,2023-01-09 02:03:10+00:00,SismologicoMX,"SISMO Magnitud 3.4 Loc. 19 km al NOROESTE de COQUIMATLAN, COL 08/01/23 12:25:27 Lat 19.27 Lon -103.98 Pf 14 km",19,2
64,2023-01-09 02:03:06+00:00,SismologicoMX,"SISMO Magnitud 3.6 Loc. 78 km al SUR de COALCOMAN, MICH 08/01/23 11:41:07 Lat 18.08 Lon -103.27 Pf 6 km",24,1
65,2023-01-09 02:03:03+00:00,SismologicoMX,"SISMO Magnitud 3.9 Loc. 43 km al NORESTE de MAPASTEPEC, CHIS 08/01/23 11:23:34 Lat 15.72 Lon -92.61 Pf 186 km",20,0
66,2023-01-09 02:02:55+00:00,SismologicoMX,"SISMO Magnitud 3.3 Loc. 41 km al SUR de TECPAN, GRO 08/01/23 09:45:31 Lat 16.86 Lon -100.68 Pf 2 km",40,2
67,2023-01-09 02:02:52+00:00,SismologicoMX,"SISMO Magnitud 3.3 Loc. 6 km al NOROESTE de RIO GRANDE, OAX 08/01/23 09:34:56 Lat 16.04 Lon -97.48 Pf 7 km",24,0
68,2023-01-09 02:02:48+00:00,SismologicoMX,"SISMO Magnitud 3.5 Loc. 68 km al SUROESTE de PINOTEPA NACIONAL, OAX 08/01/23 08:51:30 Lat 15.97 Lon -98.55 Pf 16 km",17,0
69,2023-01-09 02:02:44+00:00,SismologicoMX,"SISMO Magnitud 3.4 Loc. 18 km al NORTE de GPE VICTORIA(KM.43), BC 08/01/23 07:48:44 Lat 32.45 Lon -115.08 Pf 8 km",21,0
70,2023-01-09 02:02:40+00:00,SismologicoMX,"SISMO Magnitud 3.6 Loc. 70 km al SUROESTE de PINOTEPA NACIONAL, OAX 08/01/23 08:39:10 Lat 15.95 Lon -98.57 Pf 16 km",16,0
71,2023-01-09 02:02:37+00:00,SismologicoMX,"SISMO Magnitud 3.2 Loc. 25 km al SUROESTE de COYUCA DE BENITEZ, GRO 08/01/23 07:24:02 Lat 16.81 Lon -100.21 Pf 2 km",23,0
72,2023-01-09 02:02:33+00:00,SismologicoMX,"SISMO Magnitud 3.9 Loc. 33 km al SUROESTE de ARRIAGA , CHIS 08/01/23 07:15:22 Lat 16.03 Lon -94.13 Pf 97 km",28,0
